Trial Phase,Trial Number,Time,Position X,Position Y,Position Z
21,1,8.472891,-0.02997845,-0.7294529,0.7638752
21,1,8.584072,-0.02997866,-0.8091648,0.7624254
21,1,8.695134,-0.02997845,-0.7091782,0.7625846
21,1,8.795221,-0.03003341,-0.7083948,0.7612941
21,1,8.906771,-0.03003341,-0.7847798,0.7612941
21,1,9.007405,-0.0300335,-0.7790469,0.7587135
21,1,9.118418,-0.03003344,-0.6795016,0.745661
21,1,9.228803,-0.03003344,-0.7664168,0.7417963
21,1,9.328992,-0.03003344,-0.7647057,0.7405084
21,1,9.429254,-0.02997923,-0.7623343,0.7234613
21,1,9.53122,-0.03003415,-0.7445593,0.7014378
21,1,9.641036,-0.02997977,-0.8366115,0.6417515
21,1,9.753983,-0.02998024,-0.7195877,0.6024944
21,1,9.861757,-0.01991636,-0.8253986,0.500978
21,1,9.963385,0.1955416,-0.8153834,0.342025
21,1,10.07339,0.5062975,-0.7249042,0.1458344
21,1,10.18406,0.5568511,-0.7979943,0.1106608
21,1,10.28513,0.5828847,-0.778618,-0.01660019
21,1,10.3859,0.6440172,-0.7490602,-0.1811925
21,1,10.4949,0.6704525,-0.6829445,-0.3092127
21,1,10.59495,0.9068819,-0.6826973,-0.3909183
21,1,10.69514,1.174785,-0.6814995,-0.4510648
21,1,10.79518,1.350617,-0.7049821,-0.4526373
21,1,10.89612,1.347207,-0.6962423,-0.4618109
21,1,10.99723,1.328677,-0.6837762,-0.4750373
21,1,11.10614,1.348011,-0.782167,-0.506208
21,1,11.20624,1.416432,-0.789607,-0.5276852
21,1,11.31712,1.649948,-0.6912166,-0.3212725
21,1,11.42824,1.649969,-0.7715468,-0.1202502
21,1,11.5394,1.63026,-0.6695557,-0.09079391
21,1,11.65049,1.623321,-0.7344044,-0.04226607
21,1,11.76174,1.618276,-0.7693425,0.03090456
21,1,11.86227,1.645127,-0.7618039,0.2519749
21,1,11.97273,1.685888,-0.6965743,0.3907168
21,1,12.08382,1.611014,-0.7521361,0.2909365
21,1,12.18394,1.431017,-0.7853011,-0.04040721
21,1,12.29509,1.369974,-0.709535,-0.2243363
21,1,12.40762,1.383212,-0.777122,-0.412345
21,1,12.51728,1.369976,-0.6897449,-0.4253551
21,1,12.62844,1.3686,-0.7691972,-0.4035373
21,1,12.73005,1.360288,-0.7522042,-0.4053343
21,1,12.83939,1.34681,-0.6680828,-0.4209858
21,1,12.94228,1.242987,-0.7676609,-0.4472939
21,1,13.05048,0.91793,-0.7105623,-0.4386961
21,1,13.15066,0.7267356,-0.7094527,-0.3140255
21,1,13.26147,0.7038062,-0.766803,-0.2392805
